requested_title,costco_cost_reference,item_id,resolution,match_score,requested_brand,requested_pack,catalog_title,pool,url_derived,resolution_notes
"Kirkland Signature Flex-Tech 13-Gallon Kitchen Trash Bag, 200-count",24.74,1089787,resolved_manifest_seed,1.0,Kirkland Signature,200 count,,manifest,,frozen manifest seed (overlap 1.00)
"Kirkland Signature Baby Wipes Fragrance Free, 900-count",21.99,1493488,resolved_catalog_alt_for_dead,,Kirkland Signature,900 count,"Kirkland Signature Baby Wipes, Fragrance Free, 900 ct",held_for_review,False,manifest seed 1493188 live-confirmed dead (url_not_found 2026-09-06); using catalog candidate 1493488 instead — must be live-verified
"Kirkland Signature Men's Heavyweight Crew Tee, 6-pack",29.69,,unresolved_needs_lookup,,Kirkland Signature,,,,,"no catalog match; nearest id-bearing row: 'Kirkland Signature Snacking Nuts, Variety Pack, 1.6 oz, 21 ct' (score 0.14) — requires slug/search lookup or operator id"
Kirkland Signature Women's Lightweight Hoodie,10.97,,unresolved_needs_lookup,,Kirkland Signature,,,,,"no catalog match; nearest id-bearing row: 'Kirkland Signature Nature's Domain Dog Food, Salmon & Sweet Potato, 25 lbs' (score 0.08) — requires slug/search lookup or operator id"
Kirkland Signature Unisex Logo Crewneck,10.97,,unresolved_needs_lookup,,Kirkland Signature,,,,,no catalog id-bearing candidate
Kirkland Signature Men's Lounge Short,13.19,,unresolved_needs_lookup,,Kirkland Signature,,,,,"no catalog match; nearest id-bearing row: 'Kirkland Signature Nature's Domain Dog Food, Salmon & Sweet Potato, 25 lbs' (score 0.08) — requires slug/search lookup or operator id"
"Kirkland Signature Hair Regrowth Treatment Minoxidil Foam for Men, 2.11 oz, 6-count",53.89,,unresolved_needs_lookup,,Kirkland Signature,6 count,,,,"no catalog match; nearest id-bearing row: 'Kirkland Signature Chicken Bakes, 8 oz, 6 ct' (score 0.12) — requires slug/search lookup or operator id"
"Kirkland Signature Adult Formula Lamb, Rice and Vegetable Dog Food, 25 lbs",29.14,,unresolved_needs_lookup,,Kirkland Signature,,,,,nearest id-bearing catalog row was Cat Food 52296 — different product; dog food requires a real lookup
"Kirkland Signature by Stearns &amp; Foster 14.5"" Pillow Top Lakeridge Mattress",1319.99,,unresolved_needs_lookup,,Kirkland Signature,,,,,"no catalog match; nearest id-bearing row: 'Kirkland Signature Organic No-Salt Seasoning, 14.5 oz' (score 0.13) — requires slug/search lookup or operator id"
Costco Wholesale Unisex Logo Tee,10.97,,unresolved_needs_lookup,,Costco Wholesale,,,,,no catalog id-bearing candidate
"Kirkland Signature Super Extra-Large Peanuts, 2.5 lbs",10.0,222490,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Super Extra-Large Peanuts, 2.5 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Funhouse Treats, Variety Pack, 92 oz",27.71,1481907,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Funhouse Treats, Variety Pack, 92 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Fancy Whole Cashews, Unsalted, 40 oz",19.24,1617507,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Fancy Whole Cashews, Unsalted, 40 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Applesauce Pouch, 3.17 oz, 24 ct",12.53,897971,resolved_catalog_exact,1.0,Kirkland Signature,24 ct,"Kirkland Signature Organic Applesauce Pouch, 3.17 oz, 24 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Chicken Bakes, 8 oz, 6 ct",18.69,1201906,resolved_catalog_exact,1.0,Kirkland Signature,6 ct,"Kirkland Signature Chicken Bakes, 8 oz, 6 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Trail Mix Snack Packs, 2 oz, 28 ct",22.1,1473917,resolved_catalog_exact,1.0,Kirkland Signature,28 ct,"Kirkland Signature Trail Mix Snack Packs, 2 oz, 28 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Favorites Chocolate Bag, Variety Pack, 90 oz",30.13,1919858,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Favorites Chocolate Bag, Variety Pack, 90 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Sparkling Water, Variety Pack, 12 fl oz, 35 ct",19.57,4164501,resolved_catalog_exact,1.0,Kirkland Signature,35 ct,"Kirkland Signature Sparkling Water, Variety Pack, 12 fl oz, 35 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Purified Drinking Water, 16.9 fl oz, 40 ct",8.57,782796,resolved_catalog_exact,1.0,Kirkland Signature,40 ct,"Kirkland Signature Purified Drinking Water, 16.9 fl oz, 40 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Coconut Water, 11.1 fl oz, 12 ct",14.95,1394201,resolved_catalog_exact,1.0,Kirkland Signature,12 ct,"Kirkland Signature Organic Coconut Water, 11.1 fl oz, 12 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Soft & Chewy Chocolate Chip Granola Bars, 0.85 oz, 64 ct",13.74,1212860,resolved_catalog_exact,1.0,Kirkland Signature,64 ct,"Kirkland Signature Soft & Chewy Chocolate Chip Granola Bars, 0.85 oz, 64 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Nut Bars with Cocoa Drizzle & Sea Salt, 1.41 oz, 30 ct",21.11,1300509,resolved_catalog_exact,1.0,Kirkland Signature,30 ct,"Kirkland Signature Nut Bars with Cocoa Drizzle & Sea Salt, 1.41 oz, 30 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Grass-Fed Beef Sticks, 1.15 oz, 12 ct",17.59,1857160,resolved_catalog_exact,1.0,Kirkland Signature,12 ct,"Kirkland Signature Grass-Fed Beef Sticks, 1.15 oz, 12 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Sport Drink, Variety Pack, 12 fl oz, 24 ct",10.77,1845080,resolved_catalog_exact,1.0,Kirkland Signature,24 ct,"Kirkland Signature Sport Drink, Variety Pack, 12 fl oz, 24 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature SAE 0W-20 Full Synthetic Motor Oil, 1 Quart, 6 ct",29.03,1448207,resolved_catalog_exact,1.0,Kirkland Signature,6 ct,"Kirkland Signature SAE 0W-20 Full Synthetic Motor Oil, 1 Quart, 6 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Snacking Nuts, Variety Pack, 1.6 oz, 21 ct",30.88,1658550,resolved_catalog_exact,1.0,Kirkland Signature,21 ct,"Kirkland Signature Snacking Nuts, Variety Pack, 1.6 oz, 21 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Wastebasket Liners, Clear, 10 Gallon, 500 ct",17.81,87507,resolved_catalog_exact,1.0,Kirkland Signature,500 ct,"Kirkland Signature Wastebasket Liners, Clear, 10 Gallon, 500 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Vita Rain Zero, Variety Pack, 20 fl oz, 24 ct",19.79,1359200,resolved_catalog_exact,1.0,Kirkland Signature,24 ct,"Kirkland Signature Vita Rain Zero, Variety Pack, 20 fl oz, 24 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Sparkling Energy Drink, Sugar Free, Variety Pack, 12 fl oz, 24 ct",24.19,1925833,resolved_catalog_exact,1.0,Kirkland Signature,24 ct,"Kirkland Signature Sparkling Energy Drink, Sugar Free, Variety Pack, 12 fl oz, 24 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Scented Kitchen Drawstring Trash Bags, Flex-Tech, White, Fresh Scent, 13 Gallon, 200 ct",24.41,1300658,resolved_catalog_exact,1.0,Kirkland Signature,200 ct,"Kirkland Signature Scented Kitchen Drawstring Trash Bags, Flex-Tech, White, Fresh Scent, 13 Gallon, 200 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Chicken Thighs, 10 lb avg wt",1.86,47737,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Chicken Thighs, 10 lb avg wt",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Chicken Drumsticks, 8 lb avg wt",1.31,47739,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Chicken Drumsticks, 8 lb avg wt",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Parmigiano Reggiano, 2 lb avg wt",17.7,34777,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Parmigiano Reggiano, 2 lb avg wt",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Chicken Breasts, Boneless Skinless, 9 lb avg wt",3.51,33841,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Chicken Breasts, Boneless Skinless, 9 lb avg wt",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Trail Mix, 4 lbs",18.14,1474436,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Trail Mix, 4 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Almond Flour, 3 lbs",15.83,1178969,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Almond Flour, 3 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Chicken Thighs, Boneless Skinless, 8 lb avg wt",3.84,47731,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Chicken Thighs, Boneless Skinless, 8 lb avg wt",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Dried Mangoes, Sweetened, 35 oz",11.21,1767102,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Dried Mangoes, Sweetened, 35 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Chicken Thighs, Boneless Skinless, 9 lb avg wt",3.84,35410,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Chicken Thighs, Boneless Skinless, 9 lb avg wt",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Microfiber Towels, Blue, 36 ct",21.11,133839,resolved_catalog_exact,1.0,Kirkland Signature,36 ct,"Kirkland Signature Microfiber Towels, Blue, 36 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Wildflower Honey, 5 lbs",16.71,1347776,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Wildflower Honey, 5 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Microfiber Towels, Yellow, 36 ct",21.11,713160,resolved_catalog_exact,1.0,Kirkland Signature,36 ct,"Kirkland Signature Microfiber Towels, Yellow, 36 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Chicken Party Wings, 7 lb avg wt",3.29,10597,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Chicken Party Wings, 7 lb avg wt",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Sunsweet Whole Dried Plums, 56 oz",12.2,553499,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Sunsweet Whole Dried Plums, 56 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Microwave Popcorn, 3.3 oz, 44 ct",20.67,9555,resolved_catalog_exact,1.0,Kirkland Signature,44 ct,"Kirkland Signature Microwave Popcorn, 3.3 oz, 44 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Pink Salt, Fine Grain, 5 lbs",8.35,1605917,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Pink Salt, Fine Grain, 5 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Moist Flushable Wipes, Unscented, 640 ct",19.79,1652990,resolved_catalog_exact,1.0,Kirkland Signature,640 ct,"Kirkland Signature Moist Flushable Wipes, Unscented, 640 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Roasted Almonds with Sea Salt, 2.5 lbs",16.27,1713786,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Roasted Almonds with Sea Salt, 2.5 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Dental Chews, 72 ct",33.65,971832,resolved_catalog_exact,1.0,Kirkland Signature,72 ct,"Kirkland Signature Dental Chews, 72 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Sweet Heat Snack Mix, 24 oz",14.18,1732802,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Sweet Heat Snack Mix, 24 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature In-Shell Pistachios, Roasted and Unsalted, 3 lbs",21.33,1792518,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature In-Shell Pistachios, Roasted and Unsalted, 3 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Blue Agave, 36 oz, 2 ct",11.87,1147377,resolved_catalog_exact,1.0,Kirkland Signature,2 ct,"Kirkland Signature Organic Blue Agave, 36 oz, 2 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Ground Coffee, Medium Roast, 2.5 lbs",22.98,756053,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Ground Coffee, Medium Roast, 2.5 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Imported Basil Pesto, 22 oz",12.53,990551,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Imported Basil Pesto, 22 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Canola Oil, 3 Quart, 2 ct",16.6,906410,resolved_catalog_exact,1.0,Kirkland Signature,2 ct,"Kirkland Signature Canola Oil, 3 Quart, 2 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Vegetable Oil, 3 Quart, 2 ct",16.6,906420,resolved_catalog_exact,1.0,Kirkland Signature,2 ct,"Kirkland Signature Vegetable Oil, 3 Quart, 2 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Extra Fancy Mixed Nuts, Salted, 40 oz",19.79,1645578,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Extra Fancy Mixed Nuts, Salted, 40 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Farmed Blackened Atlantic Salmon, Boneless Skin-On, 32 oz",31.78,1854959,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Farmed Blackened Atlantic Salmon, Boneless Skin-On, 32 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Strawberry Spread, 24 oz, 2 ct",10.99,1975373,resolved_catalog_exact,1.0,Kirkland Signature,2 ct,"Kirkland Signature Organic Strawberry Spread, 24 oz, 2 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Ultra Soft Diapers, Size 4, 198 ct",43.99,1987114,resolved_catalog_exact,1.0,Kirkland Signature,198 ct,"Kirkland Signature Ultra Soft Diapers, Size 4, 198 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Ultra Soft Diapers, Size 6, 132 ct",43.99,1987116,resolved_catalog_exact,1.0,Kirkland Signature,132 ct,"Kirkland Signature Ultra Soft Diapers, Size 6, 132 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Large Eggs, Free Range, 2 Dozen",6.7,1738408,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Large Eggs, Free Range, 2 Dozen",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Coconut Oil, Virgin, 84 fl oz",19.57,1045706,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Organic Coconut Oil, Virgin, 84 fl oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Extra Fancy Mixed Nuts, Unsalted, 40 oz",21.22,1652577,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Extra Fancy Mixed Nuts, Unsalted, 40 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Dry Roasted Macadamia Nuts, Salted, 1.5 lbs",19.68,1195303,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Dry Roasted Macadamia Nuts, Salted, 1.5 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Creamy Peanut Butter, 28 oz, 2 ct",12.53,555000,resolved_catalog_exact,1.0,Kirkland Signature,2 ct,"Kirkland Signature Organic Creamy Peanut Butter, 28 oz, 2 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Tomato Paste, 6 oz, 12 ct",12.53,633564,resolved_catalog_exact,1.0,Kirkland Signature,12 ct,"Kirkland Signature Organic Tomato Paste, 6 oz, 12 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Wild Alaskan Pink Salmon, 6 oz, 6 ct",21.11,890181,resolved_catalog_exact,1.0,Kirkland Signature,6 ct,"Kirkland Signature Wild Alaskan Pink Salmon, 6 oz, 6 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",11.1,2222019,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Ancient Grains Probiotic Granola, 35.3 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Whole Milk, Half Gallon, 3 ct",14.69,1364689,resolved_catalog_exact,1.0,Kirkland Signature,3 ct,"Kirkland Signature Organic Whole Milk, Half Gallon, 3 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Fancy Whole Cashews with Sea Salt, 2.5 lbs",19.24,1390413,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Fancy Whole Cashews with Sea Salt, 2.5 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature CoQ10 Supplement, 300 mg, 100 ct",24.85,648220,resolved_catalog_exact,1.0,Kirkland Signature,100 ct,"Kirkland Signature CoQ10 Supplement, 300 mg, 100 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Shelled Pistachios, Roasted & Salted, 1.5 lbs",22.65,1076903,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Shelled Pistachios, Roasted & Salted, 1.5 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Casual Dining Paper Napkins, White, 1120 ct",15.61,1585373,resolved_catalog_exact,1.0,Kirkland Signature,1120 ct,"Kirkland Signature Casual Dining Paper Napkins, White, 1120 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Vitamin C, 1000 mg, 500 ct",18.47,98268,resolved_manifest_seed,0.71,Kirkland Signature,500 Tablets,,manifest,,frozen manifest seed (overlap 0.71)
"Kirkland Signature Ibuprofen, 500 Tablets, 2 ct",13.63,355400,resolved_catalog_exact,1.0,Kirkland Signature,500 tablets,"Kirkland Signature Ibuprofen, 500 Tablets, 2 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Raw Honey Bear, 24 oz, 3 ct",24.41,1032932,resolved_catalog_exact,1.0,Kirkland Signature,3 ct,"Kirkland Signature Organic Raw Honey Bear, 24 oz, 3 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Large Eggs, Cage Free, 2 Dozen",4.06,637598,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Large Eggs, Cage Free, 2 Dozen",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Heavy Whipped Cream, 15 fl oz, 3 ct",11.76,1888000,resolved_catalog_exact,1.0,Kirkland Signature,3 ct,"Kirkland Signature Heavy Whipped Cream, 15 fl oz, 3 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Ghee Clarified Butter, 27 oz",25.51,1582922,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Organic Ghee Clarified Butter, 27 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Absorbent Pads, Extra-Large, 100 ct",22.76,1792990,resolved_catalog_exact,1.0,Kirkland Signature,100 ct,"Kirkland Signature Absorbent Pads, Extra-Large, 100 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Mini Muffin Bites, Chocolate Chip, 20 ct",10.55,1873060,resolved_catalog_exact,1.0,Kirkland Signature,20 ct,"Kirkland Signature Mini Muffin Bites, Chocolate Chip, 20 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Frozen Strawberries, 6 lbs",16.27,27664,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Frozen Strawberries, 6 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature All Purpose Flour, Unbleached, 10 lbs, 2 ct",19.68,1485523,resolved_catalog_exact,1.0,Kirkland Signature,2 ct,"Kirkland Signature All Purpose Flour, Unbleached, 10 lbs, 2 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Whole Cashews, Unsalted, Unroasted, 40 oz",21.88,1617506,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Organic Whole Cashews, Unsalted, Unroasted, 40 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Milk Chocolate Covered Almonds, 48 oz",23.97,1685616,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Milk Chocolate Covered Almonds, 48 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Nitrile Exam Gloves, Small, 400 ct",27.27,2030640,resolved_catalog_exact,1.0,Kirkland Signature,400 ct,"Kirkland Signature Nitrile Exam Gloves, Small, 400 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Nitrile Exam Gloves, Large, 400 ct",27.27,2030644,resolved_catalog_exact,1.0,Kirkland Signature,400 ct,"Kirkland Signature Nitrile Exam Gloves, Large, 400 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Nitrile Exam Gloves, Medium, 400 ct",27.27,2030643,resolved_catalog_exact,1.0,Kirkland Signature,400 ct,"Kirkland Signature Nitrile Exam Gloves, Medium, 400 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Greek Nonfat Yogurt, Plain, 3 lbs",9.34,1048072,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Organic Greek Nonfat Yogurt, Plain, 3 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Granulated Garlic, 15.5 oz",9.56,2047526,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Granulated Garlic, 15.5 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Tofu, Extra Firm, 16 oz, 4 ct",7.58,9877788,resolved_catalog_exact,1.0,Kirkland Signature,4 ct,"Kirkland Signature Organic Tofu, Extra Firm, 16 oz, 4 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Sea Scallops, Wild Caught, 2 lbs",60.49,777891,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Sea Scallops, Wild Caught, 2 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Large Eggs, Cage Free, 5 Dozen",9.34,1025795,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Large Eggs, Cage Free, 5 Dozen",items,False,normalized-name equality vs 2026-08-14 catalog
